city,place_id,place,category,rating,description,phone,sites,price,travel1,travel2,travel3,travel4,images
Bangkalan,1001,Agro Edu Wisata Kebun Bang Jani,Wisata Alam,4.1,"Agro Edu Wisata Kebun Bang Jani offers an educational and recreational experience with a variety of agricultural activities. Visitors can learn about farming techniques, explore the lush gardens, and enjoy fresh produce in a serene environment.",085231219104,,$,,,,,
Bangkalan,1002,Pantai Rindu,Wisata Bahari,4.5,"Pantai Rindu is a beautiful beach located in Bangkalan, East Java, offering stunning views of the ocean and a peaceful atmosphere for visitors to enjoy. The beach is perfect for relaxing, swimming, and watching the sunset.",,,$,,,,,
Bangkalan,1003,Dermaga Rindu,Budaya,4.1,"Dermaga Rindu is located in Bangkalan, a popular tourist spot for its beautiful sunset views and calm sea breeze, making it a perfect place for romantic strolls or relaxation by the sea.",,,$,,,,,
Bangkalan,1004,Pandela (Pantai Desa Lajing),Wisata Bahari,4.4,"Pandela Beach, located in Lajing Village, Bangkalan, offers stunning white sand beaches and crystal clear waters, perfect for relaxation and water activities.",081333444609,,$,,,,,
Bangkalan,1005,Pantai Biru,Wisata Bahari,4.6,"Located in Bangkalan, Pantai Biru is a stunning beach with crystal clear blue waters and white sandy beaches, perfect for relaxing and enjoying the beautiful coastal scenery.",085852222291,,$,,,,,
Bangkalan,1006,Api Alam Konang,Wisata Alam,4.1,"Bangkalan is a regency in East Java with numerous natural attractions, including the beautiful natural phenomenon of Api Alam Konang. It is a fascinating sight to see a natural flame continuously burning on a stone hill.",085231204320,,$,,,,,
Bangkalan,1007,Air Terjun Kokop Dhurjan,Wisata Alam,4.2,"Air Terjun Kokop Dhurjan terletak di Bangkalan, Jawa Timur. Tempat ini menawarkan panorama alam yang indah dengan air terjun yang menakjubkan.",,,$,,,,,
Bangkalan,1008,Bukit Kapur Parseh,Wisata Alam,4.1,"Bukit Kapur Parseh is a limestone hill located in Bangkalan, offering a beautiful panoramic view of the surrounding area. The hill is a popular destination for outdoor activities such as hiking and picnicking.",,,$,,,,,
Bangkalan,1009,Gunung Geger,Wisata Alam,4.5,Gunung Geger is a popular tourist destination located in Bangkalan that offers breathtaking views of the surrounding area and is perfect for hiking and outdoor activities.,,,$,,,,,
Bangkalan,1010,Hutan Mangrove Labuhan,Wisata Alam,4.1,"Located in Bangkalan, Labuhan Mangrove Forest is a beautiful natural attraction where visitors can explore the mangrove ecosystem and enjoy the serene atmosphere.",,,$,,,,,
Bangkalan,1011,MUSEUM PERUSNIA,Budaya,4.3,"Bangkalan is a district in Madura Island, East Java, Indonesia. MUSEUM PERUSNIA is a museum located in Bangkalan that showcases the history and culture of the region.",089612320914,,$,,,,,
Banyuwangi,1012,Pantai Rajegwesi,Wisata Bahari,4.4,"Located in Banyuwangi, Pantai Rajegwesi offers a beautiful beach with clear blue water and stunning natural scenery. Perfect for those seeking relaxation and tranquility away from the crowded tourist spots.",081238936042,https://pantairajegwesi.business.site/,$,,,,,
Banyuwangi,1013,Desa Wisata Kaliploso,Budaya,4.3,"Banyuwangi is a regency in East Java known for its stunning natural attractions, while Desa Wisata Kaliploso is a charming village that offers a peaceful getaway with beautiful scenery.",,,$,,,,,
