place_id,city,place,category,rating,description,phone,sites,price,travel1,travel2,travel3,travel4,images
1001,Bangkalan,Agro Edu Wisata Kebun Bang Jani,Wisata Alam,4.1,"Agro Edu Wisata Kebun Bang Jani offers an educational and recreational experience with a variety of agricultural activities. Visitors can learn about farming techniques, explore the lush gardens, and enjoy fresh produce in a serene environment.",085231219104,,$,,,,,
1002,Bangkalan,Pantai Rindu,Wisata Bahari,4.5,"Pantai Rindu is a beautiful beach located in Bangkalan, East Java, offering stunning views of the ocean and a peaceful atmosphere for visitors to enjoy. The beach is perfect for relaxing, swimming, and watching the sunset.",,,$,,,,,
1003,Bangkalan,Dermaga Rindu,Budaya,4.1,"Dermaga Rindu is located in Bangkalan, a popular tourist spot for its beautiful sunset views and calm sea breeze, making it a perfect place for romantic strolls or relaxation by the sea.",,,$,,,,,
1004,Bangkalan,Pandela (Pantai Desa Lajing),Wisata Bahari,4.4,"Pandela Beach, located in Lajing Village, Bangkalan, offers stunning white sand beaches and crystal clear waters, perfect for relaxation and water activities.",081333444609,,$,,,,,
1005,Bangkalan,Pantai Biru,Wisata Bahari,4.6,"Located in Bangkalan, Pantai Biru is a stunning beach with crystal clear blue waters and white sandy beaches, perfect for relaxing and enjoying the beautiful coastal scenery.",085852222291,,$,,,,,
1006,Bangkalan,Api Alam Konang,Wisata Alam,4.1,"Bangkalan is a regency in East Java with numerous natural attractions, including the beautiful natural phenomenon of Api Alam Konang. It is a fascinating sight to see a natural flame continuously burning on a stone hill.",085231204320,,$,,,,,
1007,Bangkalan,Air Terjun Kokop Dhurjan,Wisata Alam,4.2,"Air Terjun Kokop Dhurjan terletak di Bangkalan, Jawa Timur. Tempat ini menawarkan panorama alam yang indah dengan air terjun yang menakjubkan.",,,$,,,,,
1008,Bangkalan,Bukit Kapur Parseh,Wisata Alam,4.1,"Bukit Kapur Parseh is a limestone hill located in Bangkalan, offering a beautiful panoramic view of the surrounding area. The hill is a popular destination for outdoor activities such as hiking and picnicking.",,,$,,,,,
1009,Bangkalan,Gunung Geger,Wisata Alam,4.5,Gunung Geger is a popular tourist destination located in Bangkalan that offers breathtaking views of the surrounding area and is perfect for hiking and outdoor activities.,,,$,,,,,
1010,Bangkalan,Hutan Mangrove Labuhan,Wisata Alam,4.1,"Located in Bangkalan, Labuhan Mangrove Forest is a beautiful natural attraction where visitors can explore the mangrove ecosystem and enjoy the serene atmosphere.",,,$,,,,,
1011,Bangkalan,MUSEUM PERUSNIA,Budaya,4.3,"Bangkalan is a district in Madura Island, East Java, Indonesia. MUSEUM PERUSNIA is a museum located in Bangkalan that showcases the history and culture of the region.",089612320914,,$,,,,,
1012,Banyuwangi,Pantai Rajegwesi,Wisata Bahari,4.4,"Located in Banyuwangi, Pantai Rajegwesi offers a beautiful beach with clear blue water and stunning natural scenery. Perfect for those seeking relaxation and tranquility away from the crowded tourist spots.",081238936042,https://pantairajegwesi.business.site/,$,,,,,
1013,Banyuwangi,Desa Wisata Kaliploso,Budaya,4.3,"Banyuwangi is a regency in East Java known for its stunning natural attractions, while Desa Wisata Kaliploso is a charming village that offers a peaceful getaway with beautiful scenery.",,,$,,,,,
1014,Banyuwangi,Pantai Cemara,Wisata Alam,4.6,"Banyuwangi is a regency located in East Java, Indonesia, known for its stunning natural attractions such as Pantai Cemara, a beautiful beach with calm waters and lush pine trees lining the shore.",081249219268,,$,,,,,
1015,Banyuwangi,X-Badeng Rafting Adventure,Wisata Bahari,4.6,"Badeng Rafting Adventure is located in Banyuwangi, offering thrilling rafting experiences in the beautiful nature of East Java. Enjoy the adrenaline rush as you navigate through the rapids and enjoy the stunning scenery along the river.",085232936801,https://banyuwangipaketwisata.com/wisata-pantai-cemara-banyuwangi/,$$$,,,,,
1016,Banyuwangi,Air Terjun Temcor,Wisata Alam,4.5,"Banyuwangi is a regency located on the eastern tip of Java Island, famous for its stunning natural attractions such as Air Terjun Temcor, a beautiful waterfall surrounded by lush greenery.",,,$,,,,,
1017,Banyuwangi,Air Terjun Antogan,Wisata Alam,4.5,"BanyuwangiAntogan Waterfall is located in Banjar Village, Banyuwangi. It offers a beautiful natural scenery with a refreshing waterfall, making it a perfect spot for nature lovers and adventure seekers.",,,$,,,,,
1018,Banyuwangi,Bangsring Under Water,Wisata Bahari,4.5,Bangsring Under Water is a popular diving spot in Banyuwangi where visitors can explore the diverse marine life and colorful coral reefs.,08155941059,https://bangsringunderwater.com/,$,,,,,
1019,Banyuwangi,De Djawatan,Wisata Alam,4.0,"De Djawatan is a traditional village in Banyuwangi where visitors can experience the local culture, traditional dances, and rituals.",081272227543,,$$,,,,,
1020,Banyuwangi,Ekowisata Mangrove Bedul,Wisata Alam,4.4,Ekowisata Mangrove Bedul is located in Banyuwangi and offers a unique experience of exploring mangrove forests while promoting environmental conservation through ecotourism activities.,,http://mangrovebedul.blogspot.com/,$,,,,,
1021,Banyuwangi,Pantai Grajagan,Wisata Bahari,4.5,"Pantai Grajagan terletak di Banyuwangi dan terkenal dengan ombaknya yang cocok untuk surfing, serta pemandangan pantainya yang indah.",,,$,,,,,
1022,Banyuwangi,Gunung Rante,Wisata Alam,4.6,"Located in Banyuwangi, Mount Rante offers breathtaking views of nature's beauty and is popular among hikers and nature enthusiasts.",,,$,,,,,
1023,Banyuwangi,Wisata Kalibendo,Wisata Alam,4.3,"Kalibendo is a beautiful waterfall located in Banyuwangi, perfect for nature lovers seeking a peaceful oasis to relax and unwind. Surrounded by lush greenery, this hidden gem offers a refreshing escape from the bustling city life.",,,$,,,,,
1024,Banyuwangi,Kaliklatak Perkebunan,Wisata Alam,4.8,"Kaliklatak Plantation is a charming agro-tourism destination in Banyuwangi, offering visitors the chance to explore vast tea and coffee plantations while enjoying the scenic beauty of the surrounding area.",,,$,,,,,
1025,Banyuwangi,Kalisawah adventure,Wisata Alam,4.5,Kalisawah adventure in Banyuwangi offers thrilling outdoor activities such as rafting and tubing in a beautiful natural setting. Get ready for an adrenaline-packed adventure in this picturesque location.,08176421713,https://kalisawah.com/,$$$,,,,,
1026,Banyuwangi,Kawah Ijen,Wisata Alam,5.0,"Banyuwangi is a regency located in the eastern part of Java Island, Indonesia. Kawah Ijen is a famous tourist attraction in Banyuwangi known for its blue fire and majestic crater lake.",,https://tiket.bbksdajatim.org/,$,https://open-trip.id/paket-wisata/open-trip/ijen-baluran-menjangan-2/,https://open-trip.id/paket-wisata/open-trip/wisata-tur-kawah-ijen-baluran-2-hari-1-malam/,https://open-trip.id/paket-wisata/open-trip/explore-gunung-ijen-sunrise/,,
1027,Banyuwangi,Mangrove Bengkak,Wisata Alam,4.4,"Banyuwangi is a regency in East Java known for its beautiful beaches, including the famous Bali Ijen mangrove forest.",,http://mangrovecenterbengkak.wordpress.com/,$,,,,,
1028,Banyuwangi,Pantai Blimbingsari,Wisata Bahari,4.7,"Banyuwangi is a regency located in East Java, known for its stunning natural attractions such as beaches, mountains, and national parks. Pantai Blimbingsari is a beautiful beach in Banyuwangi with clear blue waters and white sandy shores, perfect for swimming and sunbathing.",081331630507,,$,,,,,
1029,Banyuwangi,Pantai Cemara Kawang,Wisata Alam,4.4,Pantai Cemara Kawang terletak di Banyuwangi dan menawarkan pemandangan pantai yang indah dengan pasir putih dan air biru yang jernih. Tempat ini cocok untuk menikmati keindahan alam sambil berenang atau bersantai.,,,$,,,,,
1030,Banyuwangi,Pantai Mustika Pancer,Wisata Bahari,4.1,"Pantai Mustika Pancer is a beautiful beach in Banyuwangi with clear blue waters and white sandy beaches, perfect for relaxing and enjoying the peaceful atmosphere.",,http://pantaimustika.carrd.co/,$,,,,,
1031,Banyuwangi,Pantai Pulau Santen,Wisata Bahari,4.8,"Pantai Pulau Santen located in Banyuwangi, East Java, is a beautiful beach with white sand and clear blue water, perfect for relaxation and water activities.",,,$,,,,,
